GEN
2465
3881
4570
13119
13302
13646
24314
304660
412348
412360
412444
413298
416227
416773
418271
418280
418846
418852
419372
419410
419903
420055
420679
421213
421963
422965
423804
1477928
2157142
3830999
5131
12867
13728
39359
60900
305029
412450
413317
414940
415066
415173
418347
419380
421337
421340
421442
422005
423200
423409
424702
460960
897095
2151597
2151603
3889
4248
13569
13767
14431
16262
41542
67929
92207
418354
419525
419528
420071
424673
424689
424700
460689
464211
1586793
1987795
2099196
2117143
4559213
775
13098
13396
13421
13469
20424
62576
304136
345434
416396
420158
422181
669426
1477994
3895
13954
14103
24825
27001
41800
416019
420125
421919
422983
427258
427520
438163
460693
670602
673831
1478078
2114149
2117921
4937014
4937015
13662
41750
65504
82844
222439
413235
418273
420153
421022
421064
423348
427366
427668
431082
431413
434655
460695
670359
670981
897039
1478021
1478148
3587148
6387
13350
20934
31089
41418
41686
41709
42083
42158
96619
133128
376770
421018
422212
422381
423133
423143
423671
423673
784135
2166
19627
30374
41471
42076
62150
64873
86394
87507
96413
427650
428988
429726
430433
431424
438323
16122
19630
41484
42274
43154
62587
64869
86162
86230
86954
97487
420213
421747
421749
428238
429101
429168
429247
430048
431742
432043
438273
438760
438770
457982
3831054
12961
16004
16069
30977
41233
41243
41249
41700
42012
42644
62235
79693
86180
86185
86355
86437
86582
421330
422211
428965
430179
434111
41263
41669
41761
42066
62256
62627
97120
427918
433740
15292
41660
41804
41948
42174
42237
43789
62114
67055
68052
70761
76718
77128
77205
80506
89242
89491
419150
419152
430390
433924
471420
471785
20010
62221
77534
77587
83123
85331
86490
96638
143989
430154
430174
460142
2167
62526
62603
65038
65315
68460
85637
85646
85685
89762
106875
107017
126114
144880
434148
447647
609368
625454
653215
665788
904516
62633
77230
77246
77310
77331
80836
85244
85465
85587
85599
85676
85711
85741
85786
85888
85899
86783
88809
96495
96501
97127
106657
106844
107052
107059
107066
107086
107103
108014
168154
170862
222490
443483
450448
450770
454059
455538
609307
609448
623960
624629
664062
900613
15200
20585
78690
80662
82710
87107
96458
103122
107131
126308
126309
130562
143023
143067
143808
143844
168912
168924
168939
169164
214589
217451
217562
220384
220399
295261
321131
601577
143058
167864
168060
168614
168979
170744
217726
217743
217745
217777
218794
292703
292907
294745
294834
295146
295190
321397
321487
326413
393017
412956
480143
480914
512731
520702
536162
701166
730613
743023
743034
770285
770505
855168
855587
878573
909641
1066175
1066569
1093268
1700001
143050
168524
168928
168945
217748
217754
218554
294614
294670
294705
294724
294818
294881
294897
294910
294940
342284
342294
342325
369673
377191
390845
390866
392036
392884
392956
392959
458835
527773
741166
876108
1058137
1360815
1491661
1566810
1831374
2031157
2163595
2163596
2163607
2430154
30709
222693
269000
292717
295091
295296
295788
320849
321822
321833
321840
323172
342090
342202
342218
342231
342253
342263
342336
342374
343215
353782
355408
355411
358886
359354
369564
369682
377246
377276
390604
393205
1047493
1101307
1127595
1563730
217385
295026
341985
358060
358856
367751
367789
368747
369679
376718
377165
391994
393281
393298
835884
877657
934019
984151
1064007
1079616
1081265
1082612
1563726
1823515
369670
373045
373101
376790
376804
391721
692864
692876
692904
909658
916978
1193118
1290408
1291472
1291739
1295736
1295755
1298199
1298205
1300939
1301796
1301798
1301800
1301802
1301936
1302311
1306534
1311265
1343502
1494896
1410845
295191
321614
675238
1066279
1290414
1291474
1293839
1296234
1296766
1298211
1302304
1342417
1390242
1393230
1402346
1437563
1439621
1500224
1541045
1541049
1637606
1672866
1812547
1815932
1815954
1816016
1816173
1817540
2011449
2200733
2448313
2448315
2464236
2600794
2601500
2668072
2668073
1295300
1504972
1507248
1541043
1542708
1630947
1630957
1635496
1635819
1636202
1636586
1637620
1642335
1642433
1642486
1651705
1671942
1671946
1766332
1766345
1766370
1790751
1796426
1799716
1982528
2448314
2460025
2464628
2464631
2586605
2586621
2586622
2588632
2588634
2588696
371007
1195398
1210458
1390246
1399978
1507236
1649008
1673085
2484301
2484313
2484320
2485043
2485050
2485148
2485260
2485890
2485920
2620837
2621094
2621109
2621166
2621174
3578390
3578468
3822784
3825284
3825285
3826177
3826178
3826179
4057141
4057142
4057151
4057155
4059217
4059227
4062993
4066585
4069736
4069854
343376
1838323
2201662
2201664
2450184
2485913
2485915
2487807
3827748
3827757
3827759
3827762
3827768
3827770
3827771
3827774
3830032
3830034
3830068
3830069
3830083
3830109
3830114
3830128
3830130
3830162
3830165
3830167
3830184
3830198
3830201
3830206
3848142
3848815
3849968
3854950
3855090
3855110
3855646
3855675
3863169
3863186
3864287
3865255
3868700
3868812
